case_id,condition,construction_policy,parent_unique_fg,final_unique_fg,equalization_target_unique_fg,semantic_changed
coronacases_009,pixel_dropout_matched_50,post_transfer_unique_voxel_pixel_equalization,42,36,36,True
coronacases_009,pixel_dropout_matched_75,post_transfer_unique_voxel_pixel_equalization,54,44,44,True
coronacases_010,complete,unchanged_from_v1_0,59,59,59,False
coronacases_010,complete_fixed_25,post_transfer_fixed_pair_unique_voxel_thinning,59,50,50,True
coronacases_010,complete_fixed_50,post_transfer_fixed_pair_unique_voxel_thinning,59,53,53,True
coronacases_010,complete_fixed_75,fixed_pair_side_already_at_shared_training_grid_target_unchanged,59,59,59,False
coronacases_010,component_fixed_25,fixed_pair_side_already_at_shared_training_grid_target_unchanged,50,50,50,False
coronacases_010,component_fixed_50,fixed_pair_side_already_at_shared_training_grid_target_unchanged,53,53,53,False
coronacases_010,component_fixed_75,post_transfer_fixed_pair_unique_voxel_thinning,61,59,59,True
coronacases_010,component_natural_25,natural_component_omission_unchanged,20,20,20,False
coronacases_010,component_natural_50,natural_component_omission_unchanged,27,27,27,False
coronacases_010,component_natural_75,natural_component_omission_unchanged,54,54,54,False
coronacases_010,pixel_dropout_matched_25,post_transfer_unique_voxel_pixel_equalization,25,20,20,True
coronacases_010,pixel_dropout_matched_50,post_transfer_unique_voxel_pixel_equalization,33,27,27,True
coronacases_010,pixel_dropout_matched_75,already_exact_after_transfer_unchanged,54,54,54,False
radiopaedia_10_85902_1,complete,unchanged_from_v1_0,13,13,13,False
radiopaedia_10_85902_1,complete_fixed_25,post_transfer_fixed_pair_unique_voxel_thinning,13,12,12,True
radiopaedia_10_85902_1,complete_fixed_50,fixed_pair_side_already_at_shared_training_grid_target_unchanged,13,13,13,False
radiopaedia_10_85902_1,complete_fixed_75,fixed_pair_side_already_at_shared_training_grid_target_unchanged,13,13,13,False
radiopaedia_10_85902_1,component_fixed_25,fixed_pair_side_already_at_shared_training_grid_target_unchanged,12,12,12,False
radiopaedia_10_85902_1,component_fixed_50,fixed_pair_side_already_at_shared_training_grid_target_unchanged,13,13,13,False
radiopaedia_10_85902_1,component_fixed_75,post_transfer_fixed_pair_unique_voxel_thinning,17,13,13,True
radiopaedia_10_85902_1,component_natural_25,natural_component_omission_unchanged,12,12,12,False
radiopaedia_10_85902_1,component_natural_50,natural_component_omission_unchanged,12,12,12,False
radiopaedia_10_85902_1,component_natural_75,natural_component_omission_unchanged,13,13,13,False
radiopaedia_10_85902_1,pixel_dropout_matched_25,post_transfer_unique_voxel_pixel_equalization,13,12,12,True
radiopaedia_10_85902_1,pixel_dropout_matched_50,post_transfer_unique_voxel_pixel_equalization,13,12,12,True
radiopaedia_10_85902_1,pixel_dropout_matched_75,already_exact_after_transfer_unchanged,13,13,13,False
radiopaedia_10_85902_3,complete,unchanged_from_v1_0,22,22,22,False
radiopaedia_10_85902_3,complete_fixed_25,post_transfer_fixed_pair_unique_voxel_thinning,22,15,15,True
radiopaedia_10_85902_3,complete_fixed_50,post_transfer_fixed_pair_unique_voxel_thinning,22,19,19,True
radiopaedia_10_85902_3,complete_fixed_75,post_transfer_fixed_pair_unique_voxel_thinning,22,17,17,True
radiopaedia_10_85902_3,component_fixed_25,fixed_pair_side_already_at_shared_training_grid_target_unchanged,15,15,15,False
radiopaedia_10_85902_3,component_fixed_50,fixed_pair_side_already_at_shared_training_grid_target_unchanged,19,19,19,False
radiopaedia_10_85902_3,component_fixed_75,fixed_pair_side_already_at_shared_training_grid_target_unchanged,17,17,17,False
radiopaedia_10_85902_3,component_natural_25,natural_component_omission_unchanged,12,12,12,False
radiopaedia_10_85902_3,component_natural_50,natural_component_omission_unchanged,12,12,12,False
radiopaedia_10_85902_3,component_natural_75,natural_component_omission_unchanged,22,22,22,False
radiopaedia_10_85902_3,pixel_dropout_matched_25,post_transfer_unique_voxel_pixel_equalization,14,12,12,True
radiopaedia_10_85902_3,pixel_dropout_matched_50,post_transfer_unique_voxel_pixel_equalization,16,12,12,True
radiopaedia_10_85902_3,pixel_dropout_matched_75,already_exact_after_transfer_unchanged,22,22,22,False
radiopaedia_14_85914_0,complete,unchanged_from_v1_0,226,226,226,False
radiopaedia_14_85914_0,complete_fixed_25,post_transfer_fixed_pair_unique_voxel_thinning,226,198,198,True
radiopaedia_14_85914_0,complete_fixed_50,post_transfer_fixed_pair_unique_voxel_thinning,226,203,203,True
radiopaedia_14_85914_0,complete_fixed_75,post_transfer_fixed_pair_unique_voxel_thinning,226,224,224,True
radiopaedia_14_85914_0,component_fixed_25,fixed_pair_side_already_at_shared_training_grid_target_unchanged,198,198,198,False
radiopaedia_14_85914_0,component_fixed_50,fixed_pair_side_already_at_shared_training_grid_target_unchanged,203,203,203,False
radiopaedia_14_85914_0,component_fixed_75,fixed_pair_side_already_at_shared_training_grid_target_unchanged,224,224,224,False
radiopaedia_14_85914_0,component_natural_25,natural_component_omission_unchanged,39,39,39,False
radiopaedia_14_85914_0,component_natural_50,natural_component_omission_unchanged,90,90,90,False
radiopaedia_14_85914_0,component_natural_75,natural_component_omission_unchanged,159,159,159,False
radiopaedia_14_85914_0,pixel_dropout_matched_25,post_transfer_unique_voxel_pixel_equalization,63,39,39,True
radiopaedia_14_85914_0,pixel_dropout_matched_50,post_transfer_unique_voxel_pixel_equalization,129,90,90,True
radiopaedia_14_85914_0,pixel_dropout_matched_75,post_transfer_unique_voxel_pixel_equalization,183,159,159,True
radiopaedia_27_86410_0,complete,unchanged_from_v1_0,139,139,139,False
radiopaedia_27_86410_0,complete_fixed_25,post_transfer_fixed_pair_unique_voxel_thinning,69,59,59,True
radiopaedia_27_86410_0,complete_fixed_50,post_transfer_fixed_pair_unique_voxel_thinning,139,134,134,True
radiopaedia_27_86410_0,complete_fixed_75,post_transfer_fixed_pair_unique_voxel_thinning,139,130,130,True
radiopaedia_27_86410_0,component_fixed_25,fixed_pair_side_already_at_shared_training_grid_target_unchanged,59,59,59,False
radiopaedia_27_86410_0,component_fixed_50,fixed_pair_side_already_at_shared_training_grid_target_unchanged,134,134,134,False
radiopaedia_27_86410_0,component_fixed_75,fixed_pair_side_already_at_shared_training_grid_target_unchanged,130,130,130,False
radiopaedia_27_86410_0,component_natural_25,natural_component_omission_unchanged,33,33,33,False
radiopaedia_27_86410_0,component_natural_50,natural_component_omission_unchanged,72,72,72,False
radiopaedia_27_86410_0,component_natural_75,natural_component_omission_unchanged,102,102,102,False
radiopaedia_27_86410_0,pixel_dropout_matched_25,post_transfer_unique_voxel_pixel_equalization,57,33,33,True
radiopaedia_27_86410_0,pixel_dropout_matched_50,post_transfer_unique_voxel_pixel_equalization,94,72,72,True
radiopaedia_27_86410_0,pixel_dropout_matched_75,post_transfer_unique_voxel_pixel_equalization,125,102,102,True
radiopaedia_29_86490_1,complete,unchanged_from_v1_0,4,4,4,False
radiopaedia_29_86490_1,complete_fixed_25,fixed_pair_side_already_at_shared_training_grid_target_unchanged,2,2,2,False
radiopaedia_29_86490_1,complete_fixed_50,fixed_pair_side_already_at_shared_training_grid_target_unchanged,2,2,2,False
radiopaedia_29_86490_1,complete_fixed_75,fixed_pair_side_already_at_shared_training_grid_target_unchanged,4,4,4,False
radiopaedia_29_86490_1,component_fixed_25,fixed_pair_side_already_at_shared_training_grid_target_unchanged,2,2,2,False
radiopaedia_29_86490_1,component_fixed_50,fixed_pair_side_already_at_shared_training_grid_target_unchanged,2,2,2,False
radiopaedia_29_86490_1,component_fixed_75,fixed_pair_side_already_at_shared_training_grid_target_unchanged,4,4,4,False
radiopaedia_29_86490_1,component_natural_25,natural_component_omission_unchanged,2,2,2,False
radiopaedia_29_86490_1,component_natural_50,natural_component_omission_unchanged,2,2,2,False
radiopaedia_29_86490_1,component_natural_75,natural_component_omission_unchanged,4,4,4,False
radiopaedia_29_86490_1,pixel_dropout_matched_25,already_exact_after_transfer_unchanged,2,2,2,False
radiopaedia_29_86490_1,pixel_dropout_matched_50,already_exact_after_transfer_unchanged,2,2,2,False
radiopaedia_29_86490_1,pixel_dropout_matched_75,already_exact_after_transfer_unchanged,4,4,4,False
radiopaedia_29_86491_1,complete,unchanged_from_v1_0,28,28,28,False
radiopaedia_29_86491_1,complete_fixed_25,post_transfer_fixed_pair_unique_voxel_thinning,16,14,14,True
radiopaedia_29_86491_1,complete_fixed_50,post_transfer_fixed_pair_unique_voxel_thinning,17,16,16,True
radiopaedia_29_86491_1,complete_fixed_75,fixed_pair_side_already_at_shared_training_grid_target_unchanged,28,28,28,False
radiopaedia_29_86491_1,component_fixed_25,fixed_pair_side_already_at_shared_training_grid_target_unchanged,14,14,14,False
radiopaedia_29_86491_1,component_fixed_50,fixed_pair_side_already_at_shared_training_grid_target_unchanged,16,16,16,False
radiopaedia_29_86491_1,component_fixed_75,post_transfer_fixed_pair_unique_voxel_thinning,29,28,28,True
radiopaedia_29_86491_1,component_natural_25,natural_component_omission_unchanged,14,14,14,False
radiopaedia_29_86491_1,component_natural_50,natural_component_omission_unchanged,16,16,16,False
radiopaedia_29_86491_1,component_natural_75,natural_component_omission_unchanged,28,28,28,False
radiopaedia_29_86491_1,pixel_dropout_matched_25,post_transfer_unique_voxel_pixel_equalization,18,14,14,True
radiopaedia_29_86491_1,pixel_dropout_matched_50,post_transfer_unique_voxel_pixel_equalization,21,16,16,True
radiopaedia_29_86491_1,pixel_dropout_matched_75,already_exact_after_transfer_unchanged,28,28,28,False
radiopaedia_36_86526_0,complete,unchanged_from_v1_0,331,331,331,False
radiopaedia_36_86526_0,complete_fixed_25,post_transfer_fixed_pair_unique_voxel_thinning,131,117,117,True
radiopaedia_36_86526_0,complete_fixed_50,post_transfer_fixed_pair_unique_voxel_thinning,244,240,240,True
radiopaedia_36_86526_0,complete_fixed_75,post_transfer_fixed_pair_unique_voxel_thinning,331,328,328,True
radiopaedia_36_86526_0,component_fixed_25,fixed_pair_side_already_at_shared_training_grid_target_unchanged,117,117,117,False
radiopaedia_36_86526_0,component_fixed_50,fixed_pair_side_already_at_shared_training_grid_target_unchanged,240,240,240,False
radiopaedia_36_86526_0,component_fixed_75,fixed_pair_side_already_at_shared_training_grid_target_unchanged,328,328,328,False
radiopaedia_36_86526_0,component_natural_25,natural_component_omission_unchanged,83,83,83,False
radiopaedia_36_86526_0,component_natural_50,natural_component_omission_unchanged,164,164,164,False
radiopaedia_36_86526_0,component_natural_75,natural_component_omission_unchanged,243,243,243,False
radiopaedia_36_86526_0,pixel_dropout_matched_25,post_transfer_unique_voxel_pixel_equalization,115,83,83,True
radiopaedia_36_86526_0,pixel_dropout_matched_50,post_transfer_unique_voxel_pixel_equalization,212,164,164,True
radiopaedia_36_86526_0,pixel_dropout_matched_75,post_transfer_unique_voxel_pixel_equalization,271,243,243,True
radiopaedia_40_86625_0,complete,unchanged_from_v1_0,96,96,96,False
radiopaedia_40_86625_0,complete_fixed_25,post_transfer_fixed_pair_unique_voxel_thinning,64,62,62,True
radiopaedia_40_86625_0,complete_fixed_50,fixed_pair_side_already_at_shared_training_grid_target_unchanged,96,96,96,False
radiopaedia_40_86625_0,complete_fixed_75,post_transfer_fixed_pair_unique_voxel_thinning,96,94,94,True
radiopaedia_40_86625_0,component_fixed_25,fixed_pair_side_already_at_shared_training_grid_target_unchanged,62,62,62,False
radiopaedia_40_86625_0,component_fixed_50,post_transfer_fixed_pair_unique_voxel_thinning,102,96,96,True
radiopaedia_40_86625_0,component_fixed_75,fixed_pair_side_already_at_shared_training_grid_target_unchanged,94,94,94,False
radiopaedia_40_86625_0,component_natural_25,natural_component_omission_unchanged,29,29,29,False
radiopaedia_40_86625_0,component_natural_50,natural_component_omission_unchanged,61,61,61,False
radiopaedia_40_86625_0,component_natural_75,natural_component_omission_unchanged,74,74,74,False
radiopaedia_40_86625_0,pixel_dropout_matched_25,post_transfer_unique_voxel_pixel_equalization,39,29,29,True
radiopaedia_40_86625_0,pixel_dropout_matched_50,post_transfer_unique_voxel_pixel_equalization,66,61,61,True
radiopaedia_40_86625_0,pixel_dropout_matched_75,post_transfer_unique_voxel_pixel_equalization,81,74,74,True
radiopaedia_4_85506_1,complete,unchanged_from_v1_0,240,240,240,False
radiopaedia_4_85506_1,complete_fixed_25,post_transfer_fixed_pair_unique_voxel_thinning,84,67,67,True
radiopaedia_4_85506_1,complete_fixed_50,post_transfer_fixed_pair_unique_voxel_thinning,171,159,159,True
radiopaedia_4_85506_1,complete_fixed_75,post_transfer_fixed_pair_unique_voxel_thinning,240,239,239,True
radiopaedia_4_85506_1,component_fixed_25,fixed_pair_side_already_at_shared_training_grid_target_unchanged,67,67,67,False
radiopaedia_4_85506_1,component_fixed_50,fixed_pair_side_already_at_shared_training_grid_target_unchanged,159,159,159,False
radiopaedia_4_85506_1,component_fixed_75,fixed_pair_side_already_at_shared_training_grid_target_unchanged,239,239,239,False
radiopaedia_4_85506_1,component_natural_25,natural_component_omission_unchanged,50,50,50,False
radiopaedia_4_85506_1,component_natural_50,natural_component_omission_unchanged,94,94,94,False
radiopaedia_4_85506_1,component_natural_75,natural_component_omission_unchanged,172,172,172,False
radiopaedia_4_85506_1,pixel_dropout_matched_25,post_transfer_unique_voxel_pixel_equalization,77,50,50,True
radiopaedia_4_85506_1,pixel_dropout_matched_50,post_transfer_unique_voxel_pixel_equalization,128,94,94,True
radiopaedia_4_85506_1,pixel_dropout_matched_75,post_transfer_unique_voxel_pixel_equalization,200,172,172,True
radiopaedia_7_85703_0,complete,unchanged_from_v1_0,46,46,46,False
radiopaedia_7_85703_0,complete_fixed_25,post_transfer_fixed_pair_unique_voxel_thinning,46,44,44,True
radiopaedia_7_85703_0,complete_fixed_50,fixed_pair_side_already_at_shared_training_grid_target_unchanged,46,46,46,False
radiopaedia_7_85703_0,complete_fixed_75,post_transfer_fixed_pair_unique_voxel_thinning,46,40,40,True
radiopaedia_7_85703_0,component_fixed_25,fixed_pair_side_already_at_shared_training_grid_target_unchanged,44,44,44,False
radiopaedia_7_85703_0,component_fixed_50,post_transfer_fixed_pair_unique_voxel_thinning,47,46,46,True
radiopaedia_7_85703_0,component_fixed_75,fixed_pair_side_already_at_shared_training_grid_target_unchanged,40,40,40,False
radiopaedia_7_85703_0,component_natural_25,natural_component_omission_unchanged,15,15,15,False
radiopaedia_7_85703_0,component_natural_50,natural_component_omission_unchanged,25,25,25,False
radiopaedia_7_85703_0,component_natural_75,natural_component_omission_unchanged,42,42,42,False
radiopaedia_7_85703_0,pixel_dropout_matched_25,post_transfer_unique_voxel_pixel_equalization,19,15,15,True
radiopaedia_7_85703_0,pixel_dropout_matched_50,post_transfer_unique_voxel_pixel_equalization,33,25,25,True
radiopaedia_7_85703_0,pixel_dropout_matched_75,already_exact_after_transfer_unchanged,42,42,42,False
